孔型: A
X 1000  Y 243600
X 292800  Y 519100
X 293000  Y 16000
X 294600  Y 437600
X 295800  Y 401600
X 296500  Y 446100
X 297800  Y 376100
X 297800  Y 381300
X 297800  Y 519100
X 300000  Y 471200
X 300200  Y 495200
X 301500  Y 446100
X 302800  Y 519100
X 303800  Y 470700
X 303800  Y 495500
X 306400  Y 474400
X 306500  Y 446100
X 307000  Y 478200
X 307000  Y 482200
X 307000  Y 486000
X 307800  Y 470700
X 307800  Y 495400
X 307800  Y 519100
X 309000  Y 480200
X 309000  Y 484200
X 309000  Y 488000
X -31000  Y 302000
X -31000  Y 306200
X 311400  Y 519400
X 311600  Y 446200
X 312500  Y 462200
X 313000  Y 503600
X 314400  Y 496000
X 314600  Y 470200
X 315200  Y 427100
X 315300  Y 421600
X 316600  Y 446200
X 317400  Y 414200
X 317800  Y 504000
X 3200  Y 280100
X 322800  Y 504000
X 327800  Y 504000
X 329000  Y 421600
X 3300  Y 195300
X 332200  Y 455200
X 332200  Y 463000
X 332400  Y 514800
X 332600  Y 450000
X 332800  Y 502400
X 33600  Y 429200
X -34400  Y 100600
X 352200  Y 447000
X -3600  Y 100600
X -3600  Y 107800
X 37400  Y 107600
X 37400  Y 310000
X 37500  Y 322600
X 37600  Y 298900
X 37600  Y 304100
X 39200  Y 199300
X 39300  Y 434400
X 39300  Y 449800
X 40000  Y 392000
X 40000  Y 394500
X -41500  Y 457600
X -42000  Y 462600
X 42200  Y 107600
X -42700  Y 395500
X -47400  Y 390300
X 47800  Y 107800
X -49000  Y 104000
X 52800  Y 308900
X 53800  Y 374400
X 55700  Y 269500
X 56200  Y 376600
X -56300  Y 407500
X -56800  Y 447600
X -600  Y 812200
X 60000  Y 280800
X 60000  Y 413800
X 60700  Y 396000
X -61800  Y 299200
X -61800  Y 390400
X -61800  Y 86200
X -6200  Y 280100
X -62000  Y 304400
X 63000  Y 107600
X -63200  Y 100400
X 63700  Y 200200
X 63700  Y 206400
X -63800  Y 84000
X -6400  Y 195300
X 64100  Y 310800
X -65800  Y 86200
X -67200  Y 303800
X -67600  Y 84000
X -69600  Y 86200
X -700  Y 308800
X 71400  Y 104000
X -71600  Y 314400
X -71600  Y 84000
X -73400  Y 297800
X -73600  Y 86200
X -73800  Y 104000
X -74200  Y 179500
X -74300  Y 137700
X -74400  Y 143400
X -74400  Y 149400
X -74400  Y 155400
X -74400  Y 161400
X -74400  Y 167400
X -74400  Y 173400
X -75600  Y 84000
X 75800  Y 389800
X -76200  Y 315800
X 7700  Y 205700
X -77600  Y 86200
X -78000  Y 370200
X 78000  Y 400800
X 78000  Y 408600
X -79400  Y 21000
X 8000  Y 270000
X 80500  Y 387600
X -81200  Y 326200
X -82200  Y 100400
X -82200  Y 107400
X -82800  Y 449300
X -82900  Y 455100
X -82900  Y 461000
X 83000  Y 401700
X -84000  Y 417600
X -84000  Y 423600
X -85200  Y 17400
X 87900  Y 395200
X -88000  Y 455800
X -88200  Y 370000
X 88400  Y 668000
X 88800  Y 648200
X 89000  Y 635800
X 89200  Y 654400
X 89200  Y 661800
X -91800  Y 21000
X 92300  Y 816300
X 92500  Y -1800
X 92600  Y 303600
X 92600  Y 309200
X 92600  Y 334200
X 92600  Y 338000
X 92600  Y 355000
X 92600  Y 735000
X 92800  Y 197600
X 92800  Y 209800
X 92800  Y 230600
X 92800  Y 277000
X 92800  Y 288400
X -93200  Y 358200
X -94400  Y 100400
X -94400  Y 107400
X -95400  Y 360800
X -95500  Y 411100
X 96000  Y 138800
X 96000  Y 164400
X 96000  Y 189000
X 96000  Y 243000
X 96000  Y 268600
X 96000  Y 297800
X -97600  Y 358200
X -97800  Y 229800
X 98400  Y 668000
X -98900  Y 233100
X 99000  Y 131000
X -99200  Y 86000
X 99400  Y 176800
X 99400  Y 197600
X 99400  Y 209800
X 99400  Y 230600
X 99600  Y 151800
X -86300  Y 304300
X -86300  Y 308630

孔型: C
X -110000  Y 420000
X -123200  Y 523800
X -123600  Y 420000
X -128600  Y 471500
X 130600  Y 320400
X -130600  Y 443200
X 130800  Y 262600
X -132200  Y 409200
X -141400  Y 465800
X 145000  Y 331800
X 145600  Y 246000
X -148400  Y 479200
X -152000  Y 227200
X 15400  Y 485800
X -156800  Y 465800
X -163200  Y 203600
X 167200  Y 127400
X 167200  Y 142000
X -167600  Y 443200
X -168200  Y 222000
X -177600  Y 467000
X -187200  Y 479200
X 188400  Y 423400
X -191800  Y 194600
X -193400  Y 467400
X -194800  Y 432600
X 198200  Y 127400
X 198200  Y 142000
X 207200  Y 480600
X -208200  Y 194600
X 217600  Y 489400
X 224400  Y 376200
X 229800  Y 186000
X -239000  Y 342600
X -239000  Y 354400
X 239800  Y 165800
X 240000  Y 389400
X 242200  Y 442200
X 242200  Y 452200
X 242800  Y 461000
X 242800  Y 467200
X 247600  Y 483800
X -248000  Y 363000
X -248000  Y 369200
X 250600  Y 467200
X 252400  Y 172200
X -255000  Y 896600
X 256200  Y 483800
X 256200  Y 508200
X 257400  Y 375800
X 260200  Y 343000
X 263000  Y 403200
X -266200  Y 905000
X 269600  Y 389200
X 271400  Y 403200
X 276800  Y 741400
X 276800  Y 787800
X 280600  Y 343000
X 281600  Y 709800
X 282200  Y 756800
X 282800  Y 175800
X 286600  Y 774000
X 286600  Y 787200
X 286800  Y 389200
X 287400  Y 727200
X 287400  Y 741400
X -288400  Y 199800
X -288400  Y 210400
X 291400  Y 175800
X -296000  Y 193400
X 298800  Y 343200
X 299000  Y 324000
X 299800  Y 175800
X 305400  Y 324000
X 308800  Y 532600
X 311600  Y 524600
X 317000  Y 217200
X 317400  Y 541400
X 318400  Y 438600
X 319400  Y 429600
X 320800  Y 405400
X 324000  Y 187200
X 324000  Y 438600
X 324600  Y 414200
X 325000  Y 429600
X -32600  Y 434600
X 327800  Y 204400
X -33200  Y 473600
X 332400  Y 328400
X 332400  Y 523600
X 334200  Y 532400
X 336000  Y 128200
X 336000  Y 150800
X 338200  Y 509600
X 346600  Y 341000
X 347800  Y 140000
X 35200  Y 485800
X 364000  Y 365800
X 42300  Y 727200
X 42400  Y 809200
X -48600  Y 293000
X 50400  Y 816000
X 51400  Y 734400
X 55000  Y 727200
X 55000  Y 809200
X -57600  Y 292400
X -65400  Y 434600
X -65800  Y 473600
X -76600  Y 274200
X -87600  Y 448000
X -10600  Y -11800
X -10600  Y -6800
X 14400  Y -11800
X 14400  Y -6800
X -15600  Y -11800
X -15600  Y -6800
X 19400  Y -11800
X 19400  Y -6800
X -20600  Y -11800
X -20600  Y -6800
X 24400  Y -11800
X 24400  Y -6800
X -25600  Y -11800
X -25600  Y -6800
X 29400  Y -11800
X 29400  Y -6800
X -30600  Y -11800
X -30600  Y -6800
X 34400  Y -11800
X 34400  Y -6800
X -35600  Y -11800
X -35600  Y -6800
X 39400  Y -11800
X 39400  Y -6800
X -40600  Y -11800
X -40600  Y -6800
X 4400  Y -11800
X 4400  Y -6800
X 44400  Y -11800
X 44400  Y -6800
X -45600  Y -11800
X -45600  Y -6800
X -50600  Y -11800
X -50600  Y -6800
X -55600  Y -11800
X -55600  Y -6800
X -5600  Y -11800
X -5600  Y -6800
X -600  Y -11800
X -600  Y -6800
X -60600  Y -11800
X -60600  Y -6800
X 9400  Y -11800
X 9400  Y -6800
X 100000  Y 111000
X 100000  Y 450811
X 100000  Y 472811
X 100000  Y 89000
X 100447  Y 500188
X 100447  Y 522188
X 100447  Y 862000
X 100447  Y 884000
X 100800  Y -54200
X 100800  Y -76200
X 111000  Y 100000
X 111000  Y 461811
X 111447  Y 511188
X 111447  Y 873000
X 111800  Y -65200
X 159200  Y 218300
X 159200  Y 372000
X 159200  Y 659800
X 170200  Y 207300
X 170200  Y 229300
X 170200  Y 361000
X 170200  Y 383000
X 170200  Y 648800
X 170200  Y 670800
X 181200  Y 218300
X 181200  Y 372000
X 181200  Y 659800
X -210600  Y 511188
X -210600  Y 873000
X -211047  Y 100000
X -211047  Y 461811
X -221600  Y 500188
X -221600  Y 522188
X -221600  Y 862000
X -221600  Y 884000
X -222047  Y 111000
X -222047  Y 450811
X -222047  Y 472811
X -222047  Y 89000
X -232600  Y 511188
X -232600  Y 873000
X -233047  Y 100000
X -233047  Y 461811
X -257400  Y -65200
X -268400  Y -54200
X -268400  Y -76200
X -27800  Y 163314
X -27800  Y 659800
X -27800  Y 908000
X -279400  Y -65200
X -287800  Y 908000
X -298800  Y 897000
X -298800  Y 919000
X -309800  Y 908000
X 329400  Y 294200
X 329400  Y -65200
X 340400  Y 283200
X 340400  Y 305200
X 340400  Y -54200
X 340400  Y -76200
X 351400  Y 294200
X 351400  Y -65200
X -38800  Y 152314
X -38800  Y 174314
X -38800  Y 648800
X -38800  Y 670800
X -38800  Y 897000
X -38800  Y 919000
X 436700  Y 907900
X 436800  Y 572400
X 447700  Y 896900
X 447700  Y 918900
X 447800  Y 561400
X 447800  Y 583400
X 458700  Y 907900
X 458800  Y 572400
X -49800  Y 163314
X -49800  Y 659800
X -49800  Y 908000
X 89000  Y 100000
X 89000  Y 461811
X 89447  Y 511188
X 89447  Y 873000
X 89800  Y -65200
X -204200  Y 210000
X -204200  Y 215000
X -204200  Y 220000
X -204200  Y 225000
X -204200  Y 230000
X -204200  Y 235000
X -204200  Y 240000
X -204200  Y 245000
X -209200  Y 210000
X -209200  Y 215000
X -209200  Y 220000
X -209200  Y 225000
X -209200  Y 230000
X -209200  Y 235000
X -209200  Y 240000
X -209200  Y 245000
X -33040  Y 330058
X -33040  Y 335058
X -38040  Y 330058
X -38040  Y 335058
X -43040  Y 330058
X -43040  Y 335058
X -48040  Y 330058
X -48040  Y 335058
X -53040  Y 330058
X -53040  Y 335058
X -58040  Y 330058
X -58040  Y 335058
X -63040  Y 330058
X -63040  Y 335058
X -68040  Y 330058
X -68040  Y 335058

孔型: D
X -17400  Y 44100
X -17400  Y 54100
X 22400  Y 44000
X 22400  Y 54000
X -27400  Y 44100
X -27400  Y 54100
X -2900  Y 44100
X -2900  Y 54100
X 32400  Y 44000
X 32400  Y 54000
X -41500  Y 44100
X -41500  Y 54100
X -51500  Y 44100
X -51500  Y 54100
X -65600  Y 44100
X -65600  Y 54100
X 7100  Y 44100
X 7100  Y 54100
X -75600  Y 44100
X -75600  Y 54100
X -220525  Y 556200
X 227700  Y 192751
X 227700  Y 200625
X 227700  Y 208500
X -228400  Y 556200
X 237000  Y 192751
X 237000  Y 200625
X 237000  Y 208500
X -64000  Y 212600
X -64000  Y 220474
X -64000  Y 228348
X 114800  Y 711600
X 114800  Y 761600
X 142800  Y -27000
X 148700  Y 51400
X 148700  Y 61400
X 169000  Y 417000
X 216500  Y 198400
X 216500  Y 208400
X 218100  Y 647300
X 218100  Y 657300
X 218100  Y 667300
X 218100  Y 677300
X 218100  Y 687300
X 218100  Y 697300
X 218100  Y 707300
X 218100  Y 717300
X 218100  Y 727300
X 218100  Y 737300
X 218100  Y 747300
X 218100  Y 757300
X 218100  Y 767300
X 218100  Y 777300
X 218100  Y 787300
X 218100  Y 797300
X 218100  Y 807300
X 225600  Y 652300
X 225600  Y 662300
X 225600  Y 672300
X 225600  Y 682300
X 225600  Y 692300
X 225600  Y 702300
X 225600  Y 712300
X 225600  Y 722300
X 225600  Y 732300
X 225600  Y 742300
X 225600  Y 752300
X 225600  Y 762300
X 225600  Y 772300
X 225600  Y 782300
X 225600  Y 792300
X 225600  Y 802300
X 225600  Y 812300
X 233100  Y 647300
X 233100  Y 657300
X 233100  Y 667300
X 233100  Y 677300
X 233100  Y 687300
X 233100  Y 697300
X 233100  Y 707300
X 233100  Y 717300
X 233100  Y 727300
X 233100  Y 737300
X 233100  Y 747300
X 233100  Y 757300
X 233100  Y 767300
X 233100  Y 777300
X 233100  Y 787300
X 233100  Y 797300
X 233100  Y 807300
X 240600  Y 652300
X 240600  Y 662300
X 240600  Y 672300
X 240600  Y 682300
X 240600  Y 692300
X 240600  Y 702300
X 240600  Y 712300
X 240600  Y 722300
X 240600  Y 732300
X 240600  Y 742300
X 240600  Y 752300
X 240600  Y 762300
X 240600  Y 772300
X 240600  Y 782300
X 240600  Y 792300
X 240600  Y 802300
X 240600  Y 812300
X -272200  Y 725200
X -272200  Y 735200
X -273300  Y 762700
X -273300  Y 772700
X -276996  Y 249378
X -276996  Y 259221
X -279800  Y 506800
X -284791  Y 249378
X -284791  Y 259221
X 293800  Y -40200
X 293800  Y -50200
X -301600  Y 724400
X -301600  Y 734400
X -302600  Y 762000
X -302600  Y 772000
X 312200  Y 898200
X 313800  Y 336200
X 313800  Y 386200
X -319900  Y 493300
X -319900  Y 508900
X -319900  Y 524500
X -325400  Y 554800
X -325400  Y 564800
X 53200  Y 50800
X 53200  Y 60800
X -257400  Y 129400
X -257400  Y 137274
X -257400  Y 145148
X -257400  Y 153022
X -257400  Y 160896
X -257400  Y 168770
X -257400  Y 176644
X -257400  Y 184518
X -258125  Y 813881
X -258125  Y 821755
X -258125  Y 829629
X -258125  Y 837503
X -258125  Y 845377
X -258125  Y 853251
X -258125  Y 861125
X -258125  Y 869000
X -265274  Y 129400
X -265274  Y 137274
X -265274  Y 145148
X -265274  Y 153022
X -265274  Y 160896
X -265274  Y 168770
X -265274  Y 176644
X -265274  Y 184518
X -266000  Y 813881
X -266000  Y 821755
X -266000  Y 829629
X -266000  Y 837503
X -266000  Y 845377
X -266000  Y 853251
X -266000  Y 861125
X -266000  Y 869000
X -304125  Y 130281
X -304125  Y 138155
X -304125  Y 146029
X -304125  Y 153903
X -304125  Y 161777
X -304125  Y 169651
X -304125  Y 177525
X -304125  Y 185400
X -312000  Y 130281
X -312000  Y 138155
X -312000  Y 146029
X -312000  Y 153903
X -312000  Y 161777
X -312000  Y 169651
X -312000  Y 177525
X -312000  Y 185400
X -283300  Y 625800
X -283300  Y 636600
X -283300  Y 647400
X -283300  Y 658200
X -283300  Y 669000
X -294700  Y 631200
X -294700  Y 642000
X -294700  Y 652800
X -294700  Y 663600
X 321500  Y 19000
X 321500  Y -2600
X 321500  Y 29800
X 321500  Y 40600
X 321500  Y 8200
X 332900  Y 13600
X 332900  Y 24400
X 332900  Y 2800
X 332900  Y 35200
X 88800  Y 909800
X 88800  Y 919800
X -182000  Y 299002
X -182000  Y 321049
X 256502  Y 193200
X -276400  Y 320409
X -276400  Y 330251
X -276400  Y 338125
X -276400  Y 347968
X 278549  Y 193200
X -286714  Y 320409
X -286714  Y 330251
X -286714  Y 338125
X -286714  Y 347968

孔型: E
X 10200  Y 800000
X 104200  Y 768600
X 106800  Y 837200
X 114600  Y 45400
X 125400  Y 28000
X 126200  Y 845600
X 127600  Y 893400
X 130600  Y 301400
X 130800  Y 282000
X 135600  Y 721200
X -13600  Y 773400
X 137000  Y 899400
X -13800  Y 689800
X 143000  Y 16600
X 143000  Y 28200
X 14400  Y 720400
X 145000  Y 301600
X 145600  Y 282000
X 148600  Y 736200
X 148800  Y 708400
X 148800  Y 788200
X 151600  Y 860600
X 159000  Y 15600
X 162400  Y 801800
X 172400  Y 34800
X -199800  Y 203200
X 2100  Y 49100
X 211000  Y 44600
X 219600  Y 28400
X -22400  Y 49100
X 235200  Y 17200
X 235200  Y 28400
X -244200  Y 278000
X 25800  Y 800000
X -271900  Y 406500
X -271900  Y 416500
X -271900  Y 426500
X -271900  Y 436500
X 27400  Y 49000
X -281900  Y 411500
X -281900  Y 421500
X -281900  Y 431500
X -281900  Y 441500
X -283200  Y 288600
X -28400  Y 297600
X 294400  Y 117600
X 294400  Y 127600
X 294400  Y 137600
X 294400  Y 147600
X 294400  Y 157600
X 30200  Y 720200
X 304400  Y 122600
X 304400  Y 132600
X 304400  Y 142600
X 304400  Y 152600
X 304400  Y 162600
X -31200  Y 808800
X -31600  Y 723800
X -38200  Y 796600
X -41400  Y 841600
X -42800  Y 757200
X -46500  Y 49100
X -48400  Y 713600
X -48400  Y 723800
X -49200  Y 796600
X -5400  Y 469200
X 62600  Y 15800
X -70600  Y 49100
X 76800  Y 34200
X -164118  Y 111992
X 183392  Y 255474
X 183392  Y 334725
X 66118  Y 111992
X 88007  Y 127881
X 88007  Y 358118
X 153000  Y 557600
X 153000  Y 567600
X 163000  Y 557600
X 163000  Y 567600
X 173000  Y 557600
X 173000  Y 567600
X 183000  Y 557600
X 183000  Y 567600
X 193000  Y 557600
X 193000  Y 567600
X 203000  Y 557600
X 203000  Y 567600
X 213000  Y 557600
X 213000  Y 567600
X 223000  Y 557600
X 223000  Y 567600
X 233000  Y 557600
X 233000  Y 567600
X 243000  Y 557600
X 243000  Y 567600

孔型: F
X -311300  Y 33400
X -311300  Y -52400
X -311300  Y 74300
X -311300  Y -9200
X 29780  Y 787100
X 29780  Y 837100
X 29980  Y 706900
X 29980  Y 756900
X 42300  Y 787100
X 42300  Y 837100
X 42500  Y 706900
X 42500  Y 756900
X 4780  Y 787100
X 4780  Y 837100
X 4980  Y 706900
X 4980  Y 756900
X 54819  Y 787100
X 54819  Y 837100
X 55019  Y 706900
X 55019  Y 756900
X 92300  Y 787100
X 92300  Y 837100
X 92500  Y 706900
X 92500  Y 756900
X 106500  Y -1800
X 106500  Y 60700
X 165000  Y -1200
X 165000  Y 61300
X 177500  Y 61300
X 202500  Y -1200
X 202500  Y 61300
X 69000  Y -1800
X 69000  Y 60700
X 81500  Y 60700

孔型: G
X -301300  Y -19200
X -301300  Y 23400
X -301300  Y -42400
X -301300  Y 43400
X -301300  Y -62400
X -301300  Y 64300
X -301300  Y 800
X -301300  Y 84300
X -321300  Y -19200
X -321300  Y 23400
X -321300  Y -42400
X -321300  Y 43400
X -321300  Y -62400
X -321300  Y 64300
X -321300  Y 800
X -321300  Y 84300
X 153000  Y 892600
X 173000  Y 892600
X 193000  Y 892600
X 213000  Y 892600

孔型: H
X 317392  Y 109588
X 317392  Y 170572
X -319400  Y 391500
X -319400  Y 456500
X -5285  Y 525900
X 14400  Y 525900

孔型: I
X -295500  Y 230677
X -295500  Y 277922
X 235855  Y 627437
X 235855  Y 832162
X 489989  Y 612870
X 489989  Y 846729
X -275415  Y 303200
X -275415  Y 363800
X -297384  Y 303200
X -297384  Y 363800

孔型: J
X -289000  Y 597400
X -289000  Y 697400
X 327200  Y -31000
X 327200  Y 69000
X -306900  Y 399000
X -306900  Y 449000
X 329400  Y 117580
X 329400  Y 162580
X 100000  Y 100000
X 100000  Y 461811
X 100447  Y 511188
X 100447  Y 873000
X 100800  Y -65200
X 170200  Y 218300
X 170200  Y 372000
X 170200  Y 659800
X -221600  Y 511188
X -221600  Y 873000
X -222047  Y 100000
X -222047  Y 461811
X -268400  Y -65200
X -298800  Y 908000
X 340400  Y 294200
X 340400  Y -65200
X -38800  Y 163314
X -38800  Y 659800
X -38800  Y 908000
X 447700  Y 907900
X 447800  Y 572400
